LOG_SUCCESS       | info    | The initialization finished successfully without homotopy method.
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | The following assertion has been violated at time 840.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | The following assertion has been violated at time 900.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | The following assertion has been violated at time 960.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1020.010000
assert            | info    | The following assertion has been violated at time 1020.010000
assert            | info    | The following assertion has been violated at time 1020.010000
assert            | info    | The following assertion has been violated at time 1020.010000
assert            | info    | The following assertion has been violated at time 1020.010000
assert            | info    | The following assertion has been violated at time 1020.010000
assert            | info    | The following assertion has been violated at time 1020.010000
assert            | info    | The following assertion has been violated at time 1020.010000
assert            | info    | The following assertion has been violated at time 1020.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1080.010000
assert            | info    | The following assertion has been violated at time 1080.010000
assert            | info    | The following assertion has been violated at time 1080.010000
assert            | info    | The following assertion has been violated at time 1080.010000
assert            | info    | The following assertion has been violated at time 1080.010000
assert            | info    | The following assertion has been violated at time 1080.010000
assert            | info    | The following assertion has been violated at time 1080.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | The following assertion has been violated at time 1140.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
assert            | info    | The following assertion has been violated at time 1200.010000
