LOG_SUCCESS       | info    | The initialization finished successfully without homotopy method.
assert            | info    | The following assertion has been violated at time 175.010000
assert            | info    | The following assertion has been violated at time 175.010000
assert            | info    | The following assertion has been violated at time 175.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 180.010000
assert            | info    | The following assertion has been violated at time 180.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 185.010000
assert            | info    | The following assertion has been violated at time 185.010000
assert            | info    | The following assertion has been violated at time 185.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 190.010000
assert            | info    | The following assertion has been violated at time 190.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 195.010000
assert            | info    | The following assertion has been violated at time 195.010000
assert            | info    | The following assertion has been violated at time 195.010000
assert            | info    | The following assertion has been violated at time 195.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 200.010000
assert            | info    | The following assertion has been violated at time 200.010000
assert            | info    | The following assertion has been violated at time 200.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 205.010000
assert            | info    | The following assertion has been violated at time 205.010000
assert            | info    | The following assertion has been violated at time 205.010000
assert            | info    | The following assertion has been violated at time 205.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 210.010000
assert            | info    | The following assertion has been violated at time 210.010000
assert            | info    | The following assertion has been violated at time 210.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 215.010000
assert            | info    | The following assertion has been violated at time 215.010000
assert            | info    | The following assertion has been violated at time 215.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 220.010000
assert            | info    | The following assertion has been violated at time 220.010000
assert            | info    | The following assertion has been violated at time 220.010000
assert            | info    | The following assertion has been violated at time 220.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 225.010000
assert            | info    | The following assertion has been violated at time 225.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 230.010000
assert            | info    | The following assertion has been violated at time 230.010000
assert            | info    | The following assertion has been violated at time 230.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 235.010000
assert            | info    | The following assertion has been violated at time 235.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 240.010000
assert            | info    | The following assertion has been violated at time 240.010000
assert            | info    | The following assertion has been violated at time 240.010000
assert            | info    | Found event, previous asserts are ignored.
assert            | info    | The following assertion has been violated at time 245.010000
assert            | info    | The following assertion has been violated at time 245.010000
assert            | info    | Found event, previous asserts are ignored.
[/home/parallels/Desktop/Tesi/progetto-ia/Drone/monitor.mo:139:2-139:53:writable]
stdout            | info    | Simulation call terminate() at time 250.000000
|                 | |       | Message : Simulation limit reached. Go home now.
LOG_SUCCESS       | info    | The simulation finished successfully.
